,trial_num,image_label,category,type,image_type,has_question,Image_Index,Image_Name,Filler_Index,Block,Part,Onset,Offset,Response,RT,Question_Position,Question_Response,Question_RT
28,29,C1_S24,1.0,study,target,False,Filler-376,,,1,study,86.45852037495933,88.459652291378,,,0.0,,
29,30,C2_S8,2.0,study,target,False,Target-1860,,,1,study,89.4615827081725,91.46273883315735,,,0.0,,
30,31,C2_S4,2.0,study,target,False,Target-409,,,1,study,92.4647667913232,94.46582074998878,,,0.0,,
31,32,C1_S29,1.0,study,target,False,Target-16,,,1,study,95.46798174991272,97.46910266648047,,,0.0,,
32,33,C2_S3,2.0,study,target,False,Filler-3220,,,1,study,98.47105099982582,100.47213162481785,,,0.0,,
33,34,C2_S9,2.0,study,target,False,Filler-6940,,,1,study,101.47399112489074,103.47504987497814,,,0.0,,
34,35,C2_S5,2.0,study,target,False,Filler-1941,,,1,study,104.47691770805977,106.47833087481558,,,0.0,,
35,36,C2_S2,2.0,study,target,False,Filler-5831,,,1,study,107.48025833303109,109.48132337490097,,,0.0,,
36,37,C1_S30,1.0,study,target,False,Filler-7517,,,1,study,110.48328462499194,112.4843505830504,,,0.0,,
37,38,C2_S10,2.0,study,target,False,Target-1637,,,1,study,113.48631658311933,115.48751020804048,,,0.0,,
38,39,C1_S21,1.0,study,target,False,Filler-395,,,1,study,116.4897243748419,118.49082070821896,,,0.0,,
39,40,C1_S23,1.0,study,target,False,Target-1591,,,1,study,119.4928254163824,121.49399070814252,,,0.0,,
40,41,C2_S7,2.0,study,target,False,Filler-2862,,,1,study,122.49590587499551,124.49704537494108,,,0.0,,
41,42,F2,,study,filler,True,fillers_images/nonhuman7.jpg,nonhuman7.jpg,2.0,1,study,125.49896045820788,127.5002692497801,,,1.0,0.0,1.2704514167271554
42,43,C2_S18,2.0,study,target,False,Filler-3805,,,1,study,130.27795983315445,132.27907645818777,,,0.0,,
43,44,C2_S16,2.0,study,target,False,Filler-1587,,,1,study,133.28098904131912,135.28201166633517,,,0.0,,
44,45,C2_S11,2.0,study,target,False,Filler-6343,,,1,study,136.28395729139447,138.28529662499204,,,0.0,,
45,46,C2_S13,2.0,study,target,False,Filler-3551,,,1,study,139.28718087496236,141.28820824995637,,,0.0,,
46,47,C2_S24,2.0,study,target,False,Filler-1426,,,1,study,142.2900799580384,144.29156254138798,,,0.0,,
47,48,C2_S19,2.0,study,target,False,Target-916,,,1,study,145.29347724979743,147.29461262491532,,,0.0,,
48,49,C2_S26,2.0,study,target,False,Filler-1395,,,1,study,148.29679883318022,150.29794841632247,,,0.0,,
49,50,C2_S23,2.0,study,target,False,Filler-6854,,,1,study,151.29989908309653,153.30098045803607,,,0.0,,
50,51,C2_S22,2.0,study,target,False,Filler-1455,,,1,study,154.30291104130447,156.3042007498443,,,0.0,,
51,52,C2_S27,2.0,study,target,False,Target-1973,,,1,study,157.30610579135828,159.30744974990375,,,0.0,,
52,53,C2_S15,2.0,study,target,False,Filler-3049,,,1,study,160.3094505830668,162.31070016650483,,,0.0,,
53,54,C2_S21,2.0,study,target,False,Filler-4658,,,1,study,163.31289549986832,165.31401116633788,,,0.0,,
54,55,C2_S25,2.0,study,target,False,Filler-7591,,,1,study,166.31596237490885,168.31700012483634,,,0.0,,
